Alpha,Beta,Loss
0.001,0.001,3.451290306166055e-10
0.001,0.01,1.4883643076089505e-09
0.001,0.1,3.420521769244315e-10
0.001,1.0,2.8831495084954062e-11
0.01,0.001,2.1836769801760612e-10
0.01,0.01,2.5747779715731906e-10
0.01,0.1,8.212920791988656e-11
0.01,1.0,3.692074219676945e-12
0.1,0.001,7.201725095299796e-10
0.1,0.01,4.6213256816950603e-10
0.1,0.1,5.596608460604554e-10
0.1,1.0,3.426083982930014e-11
1.0,0.001,7.305262454534314e-12
1.0,0.01,1.0978752817910957e-10
1.0,0.1,4.5329451533584047e-11
1.0,1.0,1.7610297213946473e-11
