Index,Lambda
Zipf_Law,-4.1692064009094484e-06
Kolmogorov_Complexity,-6.585937040476007e-06
Syllable_Counts,-1.3437916992590002e-05
Word_Lengths,1.88298405015972e-06
Lexical_Diversity_TTR,-4.3878288728631345e-07
Lexical_Diversity_Shannon,2.1953246297617895e-06
POS_Tag_Distribution,-6.789038393546798e-07
Avg_Sentence_Length,1.2396895118380416e-06
Dependency_Complexity,-1.293383280673628e-06
Punctuation_Usage,-1.5179101157375402e-06
Readability_Dale_Chall,-1.878256714259313e-06
Readability_Flesch_Kincaid,4.782068701575606e-06
Referential_Integrity,-1.7492210622923014e-08
Cosine_Similarity,-2.2848088746635465e-06
WordNet_Similarity,-1.0579038165345306e-05
Lexical_Chains,-7.4003816486429e-06
LDA_Topic_Consistency,-2.119860520747951e-06
Style_Consistency,-9.092231322751211e-07
BLEU_Score,-8.539800920181507e-06
Jaccard_Score,-4.65432706903869e-06
ROUGE_Score,1.1286525687683473e-05
Text_Flow_Analysis,-3.0547476032377144e-06
