,Zipf_Law,Kolmogorov_Complexity,Syllable_Counts,Word_Lengths,Lexical_Diversity_TTR,Lexical_Diversity_Shannon,POS_Tag_Distribution,Avg_Sentence_Length,Dependency_Complexity,Punctuation_Usage,Readability_Dale_Chall,Readability_Flesch_Kincaid,Referential_Integrity,Cosine_Similarity,WordNet_Similarity,Lexical_Chains,LDA_Topic_Consistency,Style_Consistency,BLEU_Score,Jaccard_Score,ROUGE_Score,Text_Flow_Analysis
Zipf_Law,0.0,0.053537443,0.053537447,0.053537447,0.053537443,0.053537443,0.053537447,0.053537454,0.053537447,0.053537447,0.053537443,0.053537447,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454
Kolmogorov_Complexity,0.053537443,0.0,0.053537447,0.053537443,0.053537443,0.053537443,0.053537447,0.053537447,0.053537443,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447
Syllable_Counts,0.053537447,0.053537447,0.0,0.053537447,0.053537443,0.053537443,0.053537447,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Word_Lengths,0.053537447,0.053537443,0.053537447,0.0,0.053537443,0.053537443,0.053537447,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537454,0.053537447,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Lexical_Diversity_TTR,0.053537443,0.053537443,0.053537443,0.053537443,0.0,0.053537443,0.05353744,0.053537447,0.05353744,0.05353744,0.053537443,0.05353744,0.053537447,0.053537447,0.05353744,0.05353744,0.05353744,0.053537447,0.053537443,0.05353744,0.05353744,0.053537447
Lexical_Diversity_Shannon,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.0,0.053537447,0.053537447,0.053537443,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447
POS_Tag_Distribution,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.0,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Avg_Sentence_Length,0.053537454,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.0,0.053537447,0.053537447,0.053537443,0.053537447,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454
Dependency_Complexity,0.053537447,0.053537443,0.053537447,0.053537447,0.05353744,0.053537443,0.053537447,0.053537447,0.0,0.053537447,0.053537443,0.053537447,0.053537454,0.053537447,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Punctuation_Usage,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.0,0.053537443,0.053537447,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
