Index,Lambda,Level
Zipf_Law,1.3617151626019856e-05,Character_Level
Kolmogorov_Complexity,9.49824249279607e-06,Character_Level
Syllable_Counts,9.60044254787893e-06,Morphology_Level
Word_Lengths,-6.589565670506209e-06,Morphology_Level
Lexical_Diversity_TTR,-9.791983896677505e-06,Morphology_Level
Lexical_Diversity_Shannon,6.299170258076081e-06,Morphology_Level
POS_Tag_Distribution,-8.088963138410388e-06,Syntax_Level
Avg_Sentence_Length,-4.017433103861606e-06,Syntax_Level
Dependency_Complexity,6.760974487660858e-06,Syntax_Level
Punctuation_Usage,-1.1336928880998841e-05,Syntax_Level
Readability_Dale_Chall,1.2324736080877744e-05,Grammar_Level
Readability_Flesch_Kincaid,-5.188477620550095e-07,Grammar_Level
Referential_Integrity,-1.7659533089221935e-06,Grammar_Level
Cosine_Similarity,-3.176429588253643e-06,Semantic_Level
WordNet_Similarity,2.166373029713667e-06,Semantic_Level
Lexical_Chains,-5.668779998384106e-06,Semantic_Level
LDA_Topic_Consistency,6.838743263845991e-06,Semantic_Level
Style_Consistency,-2.1162268925481e-06,Stylistic_Level
BLEU_Score,8.11484747955843e-06,Stylistic_Level
Jaccard_Score,1.1787187230302307e-06,Stylistic_Level
ROUGE_Score,-8.37287367814072e-06,Stylistic_Level
Text_Flow_Analysis,3.575911358628152e-07,Stylistic_Level
