Index,Lambda,Level
Zipf_Law,-1.4479423105737861e-06,Character_Level
Kolmogorov_Complexity,1.4437890281500109e-06,Character_Level
Syllable_Counts,1.7328240697383168e-06,Morphology_Level
Word_Lengths,2.2146525318830132e-06,Morphology_Level
Lexical_Diversity_TTR,-6.4343709822052545e-06,Morphology_Level
Lexical_Diversity_Shannon,-8.03811583278549e-06,Morphology_Level
POS_Tag_Distribution,1.0371356515636482e-05,Syntax_Level
Avg_Sentence_Length,2.0614202794086363e-05,Syntax_Level
Dependency_Complexity,-1.8512081501518725e-06,Syntax_Level
Punctuation_Usage,1.6916758935237903e-06,Syntax_Level
Readability_Dale_Chall,3.4261438356897673e-06,Grammar_Level
Readability_Flesch_Kincaid,-1.798493078130342e-05,Grammar_Level
Referential_Integrity,2.638867880936023e-05,Grammar_Level
Cosine_Similarity,8.291272214394508e-06,Semantic_Level
WordNet_Similarity,-1.5423750987223262e-05,Semantic_Level
Lexical_Chains,1.2622918741512608e-05,Semantic_Level
LDA_Topic_Consistency,-1.870588733912094e-05,Semantic_Level
Style_Consistency,6.0752807035149605e-06,Stylistic_Level
BLEU_Score,6.151234560583105e-06,Stylistic_Level
Jaccard_Score,7.063716896719669e-06,Stylistic_Level
ROUGE_Score,-1.114796752788237e-05,Stylistic_Level
Text_Flow_Analysis,-9.332961408069053e-06,Stylistic_Level
