Index,Lambda
Zipf_Law,0.004482214235417014
Kolmogorov_Complexity,0.008249741086449238
Syllable_Counts,0.008440436550026124
Word_Lengths,0.005935653738532793
Lexical_Diversity_TTR,0.011275580828781702
Lexical_Diversity_Shannon,0.00682435950932841
POS_Tag_Distribution,0.012346950952875118
Avg_Sentence_Length,0.005163244974205477
Dependency_Complexity,0.005598947392529797
Punctuation_Usage,0.009839933593770974
Readability_Dale_Chall,0.009671704712343795
Readability_Flesch_Kincaid,0.004924052866584817
Referential_Integrity,0.003681124871701092
Cosine_Similarity,0.0042137451899950905
WordNet_Similarity,0.007016825601626894
Lexical_Chains,0.010369106661533026
LDA_Topic_Consistency,0.017108388970824333
Style_Consistency,0.014223262240710093
BLEU_Score,0.016762227333793466
Jaccard_Score,0.003263100063231683
ROUGE_Score,0.014022995671599973
Text_Flow_Analysis,0.000743951215852722
